#EXAMPLE_FILE_POSITIONS_LENGTHS_TIFF_CMU_1: latency 0 ms bandwidth 0 Mbps (infinite)
#           $1      $2          $3       $4     $5          $6          $7          $8          $9      $10             $11
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.
             0      121.7        0    62483   0.000%       256566       256566     100.000%     257008     +442       100.172%
             1      120.1        0    62483   0.000%       256566       256566     100.000%     257008     +442       100.172%
            16       84.0    46752    15731  74.824%       256566       256574     100.003%     257304     +730       100.285%
            32       75.9    54605     7878  87.392%       256566       256734     100.065%     257464     +730       100.284%
            64       70.0    58528     3955  93.670%       256566       257054     100.190%     257784     +730       100.284%
           128       66.8    60493     1990  96.815%       256566       257694     100.440%     258424     +730       100.283%
           256       65.6    61481     1002  98.396%       256566       256814     100.097%     257256     +442       100.172%
           512       64.4    61975      508  99.187%       256566       257070     100.196%     257512     +442       100.172%
          1024       65.6    62225      258  99.587%       256566       261964     102.104%     262406     +442       100.169%
          2048       65.1    62351      132  99.789%       256566       266300     103.794%     266742     +442       100.166%
          4096       64.3    62414       69  99.890%       256566       278588     108.583%     279030     +442       100.159%
          8192       64.9    62445       38  99.939%       256566       305172     118.945%     305582     +410       100.134%
         16384       66.0    62460       23  99.963%       256566       362516     141.295%     362926     +410       100.113%
         32768       68.1    62468       15  99.976%       256566       486328     189.553%     486738     +410       100.084%
         65536       72.8    62472       11  99.982%       256566       682936     266.183%     683314     +378       100.055%
        131072       83.4    62474        9  99.986%       256566      1179648     459.783%    1180026     +378       100.032%
