#$ caffeinate time python src/cpy/simulator.py -l 30 --latency=1 --bandwidth=50 --seek-rate=10000 --read-rate=50
#Simulator setup:
#Network latency (one way) 1.000 (ms) bandwidth 50.000 (M bits/s)
#Server seek rate 10000.000 (M bytes/s) read rate 50.000 (M bytes/s)
#Cost GET 0.000500 (per 1000 GET requests) egress 0.100 (per GB)
#EXAMPLE_FILE_POSITIONS_LENGTHS_TIFF_CMU_1:
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.     GET Cost  Egress Cost   Total Cost Whole File Cost
             1   125490.0        0    62483   0.000%       256566       256566     100.000%     257128     +562       100.219%     0.031242     0.000024     0.031265        0.019010
             2   125485.2        0    62483   0.000%       256566       256566     100.000%     257128     +562       100.219%     0.031242     0.000024     0.031265        0.019010
             4   125477.3        9    62474   0.014%       256566       256566     100.000%     257128     +562       100.219%     0.031237     0.000024     0.031261        0.019010
             8    63063.8    31113    31370  49.794%       256566       256566     100.000%     257128     +562       100.219%     0.015685     0.000024     0.015709        0.019010
            16    31681.6    46752    15731  74.824%       256566       256574     100.003%     257496     +922       100.359%     0.007865     0.000024     0.007889        0.019010
            32    15919.5    54605     7878  87.392%       256566       256734     100.065%     257656     +922       100.359%     0.003939     0.000024     0.003963        0.019010
            64     8049.9    58528     3955  93.670%       256566       257054     100.190%     257976     +922       100.359%     0.001978     0.000024     0.002001        0.019010
           128     4104.5    60493     1990  96.815%       256566       257694     100.440%     258616     +922       100.358%     0.000995     0.000024     0.001019        0.019010
           256     2128.8    61481     1002  98.396%       256566       256814     100.097%     257376     +562       100.219%     0.000501     0.000024     0.000525        0.019010
           512     1133.5    61975      508  99.187%       256566       257070     100.196%     257632     +562       100.219%     0.000254     0.000024     0.000278        0.019010
          1024      634.4    62225      258  99.587%       256566       261964     102.104%     262526     +562       100.215%     0.000129     0.000024     0.000153        0.019010
          2048      377.6    62351      132  99.789%       256566       266300     103.794%     266862     +562       100.211%     0.000066     0.000025     0.000091        0.019010
          4096      253.4    62414       69  99.890%       256566       278588     108.583%     279150     +562       100.202%     0.000035     0.000026     0.000060        0.019010
          8192      200.4    62445       38  99.939%       256566       305172     118.945%     305694     +522       100.171%     0.000019     0.000028     0.000047        0.019010
         16384      178.4    62460       23  99.963%       256566       362516     141.295%     363038     +522       100.144%     0.000012     0.000034     0.000045        0.019010
         32768      182.7    62468       15  99.976%       256566       486328     189.553%     486850     +522       100.107%     0.000007     0.000045     0.000053        0.019010
         65536      214.6    62472       11  99.982%       256566       682936     266.183%     683418     +482       100.071%     0.000005     0.000064     0.000069        0.019010
        131072      292.5    62474        9  99.986%       256566      1179648     459.783%    1180130     +482       100.041%     0.000005     0.000110     0.000114        0.019010
        262144      411.5    62476        7  99.989%       256566      1835008     715.219%    1835450     +442       100.024%     0.000003     0.000171     0.000174        0.019010
        524288      642.6    62477        6  99.990%       256566      3145728    1226.089%    3146130     +402       100.013%     0.000003     0.000293     0.000296        0.019010
       1048576     1214.0    62477        6  99.990%       256566      6291456    2452.178%    6291858     +402       100.006%     0.000003     0.000586     0.000589        0.019010
       2097152     1969.8    62478        5  99.992%       256566     10485760    4086.964%   10486122     +362       100.003%     0.000003     0.000977     0.000979        0.019010
       4194304     3872.3    62478        5  99.992%       256566     20971520    8173.928%   20971882     +362       100.002%     0.000003     0.001953     0.001956        0.019010
#Cost of downloading complete file [0.190100 GB]: GET: 0.000000 Egress: 0.019010 Total: 0.019010
#Execution time:     14.742 (s)
#       15.62 real        15.15 user         0.22 sys
#(cppSVF_3.10_B)
